filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,102.0,105.0,Haemorhous mexicanus,House Finch,0.7878,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,15.0,18.0,Haemorhous mexicanus,House Finch,0.7713,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,33.0,36.0,Haemorhous mexicanus,House Finch,0.8967,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,45.0,48.0,Pandion haliaetus,Osprey,0.9252,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,87.0,90.0,Haemorhous mexicanus,House Finch,0.7687,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,9.0,12.0,Haemorhous mexicanus,House Finch,0.8912,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,93.0,96.0,Haemorhous mexicanus,House Finch,0.8047,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_100000.wav,96.0,99.0,Haemorhous mexicanus,House Finch,0.8296,33.2736,-111.8298,50,0.0,1.0,0.75,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
