"recordingID","filepath","start","end","scientific_name","common_name","confidence","lat","lon","week","overlap","sensitivity","min_conf","species_list","model","verify","timezone"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",0,3,"Haemorhous mexicanus","House Finch",0.8898,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",102,105,"Haemorhous mexicanus","House Finch",0.8859,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",114,117,"Haemorhous mexicanus","House Finch",0.7818,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",33,36,"Haemorhous mexicanus","House Finch",0.8261,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",36,39,"Haemorhous mexicanus","House Finch",0.9232,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",54,57,"Haemorhous mexicanus","House Finch",0.9496,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",60,63,"Haemorhous mexicanus","House Finch",0.7972,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",78,81,"Haemorhous mexicanus","House Finch",0.9424,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
"SMM07526_20221213_130202.wav","C:/Users/jkauphusman/Desktop/Scripts/Bird_Scanner/data/SMM07526_20221213_130202.wav",87,90,"Haemorhous mexicanus","House Finch",0.8466,33.2736,-111.8298,50,0,1,0.75,"None","BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite",NA,"MST"
